id;save_as;gst;pan;email;phone;street_address;postal_code;area;city;state_province;country;latitude;longitude
1;organic;handle capital;indicate though;Elna.Simonis44@yahoo.com;(322) 758-8709;muted bide while;hm;teleport even foolishly;New Aryannachester;considering;Sri Lanka;1626.79;26698.69
2;livestock furthermore;anenst position;odometer;Kiarra_Williamson@yahoo.com;883-980-3423 x3286;bashfully minus than;very;calm cork yippee;Masonville;feline implore boo;Bahamas;16697.55;14866.37
3;key treble zowie;dwelling blank;unwritten;Mateo_Windler@yahoo.com;984-453-3505 x5875;before jumpsuit;accede how;briskly slither drat;Brownshire;fooey;Malta;18008.74;19955.23
4;whoa;yippee about where;wherever big amplify;Elenora.Rohan@yahoo.com;1-358-240-6743 x934;stormy;triumph towards;celebrate incidence;Jackson;with apropos frightfully;San Marino;4074.89;1073.56
5;oddly while hourly;guilder pence fluffy;arid;Oleta_Carroll-Hickle@hotmail.com;1-642-335-4013 x248;after twin solidly;chortle;since;Vacaville;buoyant summarise immense;China;22017.58;11466.17
6;ew;accumulate whoa;baggy authorized hurtful;Pearline94@gmail.com;(930) 233-1896 x21822;acceptable er;minus mmm;so;East Lottie;whoa down excited;Honduras;5696.48;18138.65
7;transport wonderfully toady;healthily tassel paranoia;off than intrude;Justice.Lockman@yahoo.com;946-696-8198 x2143;which new;fast;level lazily;Wisokyfield;scientific;Liberia;348.08;3129.21
8;triumphantly nasalise;gadzooks;uh-huh;Raphaelle_Heaney40@yahoo.com;(527) 314-0138 x5800;resonate;foreigner;as underneath;Treutelland;upside-down slurp;Saint Pierre and Miquelon;9754.6;4550.85
9;as;for kosher;painfully;Donald.Harris38@hotmail.com;894-294-4468 x7710;ew publisher;belabor face wherever;wee;East Jeffry;contract;Zambia;12341.28;13099.02
10;ew;yet mid;phooey praise yippee;Sienna_Harber16@hotmail.com;566.754.1876 x89790;exemplary hare kookily;across;palate;East Los Angeles;advantage oh;New Zealand;18656.81;29960.38
